current_cash,monthly_revenue,monthly_expenses,debt_obligations,burn_rate,proposed_purchase_amount,purchase_category,predicted_cash_3m,predicted_runway_months,cash_shortage_probability,financial_risk_level
35510623.76,8320285.7,4771302.45,409902.55,-3139080.7,186038.43,Services,45171448.58,6.82,0.0143,LOW
169818282.25,14083534.32,11861182.56,466074.37,-1756277.39,94302.48,Marketing,174821433.96,13.77,0.0484,LOW
124051593.14,11794015.67,9044572.1,33710.41,-2715733.17,502949.09,Infrastructure,132242536.43,13.61,0.0266,LOW
18751557.07,1609151.8,1211902.75,5513.06,-391735.99,342478.09,Hardware,19534496.47,15.12,0.006,LOW
128643177.58,17860602.63,11582353.24,553126.35,-5725123.04,335539.12,Marketing,145662255.02,10.57,0.0158,LOW
28965383.46,5584931.06,4567861.45,74171.94,-942897.68,203148.62,Software,31500408.35,6.2,0.0158,LOW
77172159.3,15161357.6,8778687.52,756896.24,-5625773.84,50531.45,Hardware,93224359.47,8.09,0.0133,LOW
269076782.06,18698557.87,16872562.72,345481.18,-1480513.97,134264.45,Software,273414772.22,15.62,0.0151,LOW
171682170.43,19685139.55,17181976.76,657349.02,-1845813.77,334409.81,Infrastructure,177029962.8,9.61,0.0469,LOW
5242408.26,3118676.73,1859266.09,86266.28,-1173144.36,63533.69,Services,8535360.52,2.66,0.0171,HIGH
118870353.41,13906194.01,12392715.14,174607.04,-1338871.83,59764.76,Hardware,122778089.46,9.45,0.0138,LOW
5780327.57,569140.94,488577.72,7454.47,-73108.74,23208.1,Office Supplies,5983663.04,11.61,0.028,LOW
31722050.47,2681540.67,2488524.38,19984.76,-173031.53,419778.58,Hardware,31828219.32,12.48,0.0074,LOW
32727168.39,2985187.63,2009936.8,118828.72,-856422.1,450978.45,Hardware,34726273.78,15.16,0.0125,LOW
34608986.16,2504475.62,2158974.44,50888.11,-294613.07,762003.73,Infrastructure,34791030.72,15.32,0.0118,LOW
12798273.4,3668784.46,3191676.69,75630.97,-401476.8,222286.52,Software,13748077.93,3.85,0.0465,MEDIUM
213737824.93,16143585.21,14458608.37,215360.04,-1469616.8,7188.59,Office Supplies,218402019.17,14.57,0.0429,LOW
37424683.13,4837457.49,4240682.82,73817.39,-522957.28,70762.45,Software,38962963.97,8.66,0.0199,LOW
48490994.9,5932759.69,3427760.49,104163.28,-2400835.92,429694.47,Infrastructure,55818285.69,13.61,0.0268,LOW
196250980.58,18815124.24,11216386.09,167988.78,-7430749.37,17268.87,Services,218870406.28,17.24,0.0173,LOW
203450374.93,15835349.47,11473622.08,91564.57,-4270162.83,230574.84,Infrastructure,215096427.58,17.57,0.0218,LOW
117678577.19,10638446.8,9283154.93,500146.96,-855144.91,34190.17,Office Supplies,120154088.8,12.03,0.0035,LOW
58142893.29,13452634.86,9175773.38,570402.0,-3706459.48,45202.25,Office Supplies,69229741.13,5.96,0.0333,MEDIUM
59282973.7,6860566.64,5686609.57,65806.59,-1108150.49,47137.46,Office Supplies,62654605.26,10.3,0.0451,LOW
86454120.04,12502540.86,8381452.72,253.76,-4120834.38,49934.71,Services,99331919.57,10.31,0.0303,LOW
61553429.19,6783859.98,4929928.78,173386.64,-1680544.56,10145.19,Office Supplies,66249988.27,12.06,0.0258,LOW
131014423.7,12842346.69,8785132.19,482318.82,-3574895.68,16900.13,Office Supplies,142248257.19,14.14,0.0074,LOW
15060976.49,1401167.5,1322105.8,53839.11,-25222.59,218931.69,Marketing,14919283.62,10.79,0.0097,LOW
54192865.42,14078907.88,10527515.59,461829.02,-3089563.28,447940.02,Hardware,63548145.1,4.89,0.0443,MEDIUM
146640880.12,15679197.93,9996060.26,545566.92,-5137570.75,44104.82,Marketing,161391001.99,13.91,0.0424,LOW
101065247.53,9401005.6,8184201.86,464359.12,-752444.61,351433.06,Infrastructure,103063337.85,11.65,0.0221,LOW
122704251.8,16392626.89,14864967.15,743286.56,-784373.18,450659.89,Marketing,124698447.51,7.83,0.0237,LOW
42673666.69,5554235.2,3604120.42,212675.47,-1737439.31,510367.17,Infrastructure,47158156.1,11.05,0.022,LOW
62261808.04,14414124.82,9279776.53,643610.01,-4490738.28,82111.42,Hardware,75072630.97,6.27,0.0347,LOW
65162842.58,14275173.26,8218096.48,387293.4,-5669783.38,49887.54,Marketing,83028267.17,7.57,0.0195,LOW
19182506.74,15511017.56,14400813.58,682994.06,-427209.92,411361.98,Infrastructure,19951453.19,1.24,0.3555,HIGH
233043863.15,15192764.94,13542514.36,318304.59,-1331945.99,37262.43,Office Supplies,237194154.63,16.81,0.0449,LOW
61137511.53,10020474.81,6605237.71,194826.69,-3220410.41,34598.81,Office Supplies,70616236.94,8.99,0.0083,LOW
66906415.59,9614107.91,5778570.32,12962.92,-3822574.67,304108.53,Marketing,78369108.87,11.5,0.0042,LOW
32483205.38,8857949.01,7943282.0,115222.57,-799444.44,50215.45,Services,34764878.21,4.02,0.0381,MEDIUM
101688804.59,7892961.2,6715362.41,99558.47,-1078040.33,243098.82,Hardware,104808686.66,14.89,0.0026,LOW
26418509.01,19062434.0,12194026.8,912409.68,-5955997.53,380803.1,Hardware,45191083.93,1.99,0.0899,HIGH
1724741.2,897410.34,548275.48,30038.96,-319095.89,950369.17,Infrastructure,1726304.12,1.34,0.1012,HIGH
105969137.17,7693455.9,6095964.23,276332.48,-1321159.19,289592.63,Software,109394495.42,16.58,0.0013,LOW
93435946.62,6583166.27,5404377.37,130562.11,-1048226.79,11519.83,Office Supplies,96615446.09,16.88,0.0415,LOW
26588557.12,5235562.92,4339638.74,179124.06,-716800.12,401170.2,Hardware,28360472.3,5.8,0.0021,MEDIUM
19267750.27,10888532.28,8869891.35,352539.78,-1666101.16,427044.18,Hardware,24096786.78,2.04,0.0711,HIGH
233407652.43,19235357.56,15469729.37,680266.73,-3085361.46,104545.74,Marketing,242591397.43,14.45,0.0325,LOW
162694926.07,12510290.9,11482533.76,290785.31,-736971.84,30438.78,Office Supplies,164812543.65,13.82,0.0123,LOW
107325153.16,18725126.63,12388006.36,702638.17,-5634482.1,629815.12,Infrastructure,123271504.69,8.15,0.0014,LOW
49030286.91,17093580.31,10644786.85,681890.57,-5766902.88,63135.11,Services,66534028.43,4.32,0.044,MEDIUM
36442609.87,11337925.04,8578851.2,136823.84,-2622250.01,254517.37,Marketing,44379789.19,4.15,0.0345,MEDIUM
141515303.8,13095106.54,9773251.67,60927.18,-3260927.7,124298.33,Software,150771998.16,14.38,0.0332,LOW
40628894.43,7695898.79,5936533.07,383498.74,-1375866.97,364251.73,Infrastructure,44526212.32,6.37,0.0135,LOW
13813503.58,5402371.69,3232035.6,32293.96,-2138042.13,953333.68,Infrastructure,19469453.58,3.94,0.0096,MEDIUM
108518802.25,14902790.74,9844781.34,566460.96,-4491548.44,318848.77,Infrastructure,120813355.76,10.39,0.0097,LOW
3807213.24,4935921.69,3069040.69,131822.45,-1735058.55,18647.98,Services,8622737.66,1.18,0.1084,HIGH
210068404.66,18909747.49,15225142.76,96995.32,-3587609.4,293421.15,Hardware,220485111.67,13.69,0.022,LOW
39715290.94,4095091.57,2336457.31,97817.24,-1660817.02,209343.11,Hardware,44148860.53,16.23,0.0315,LOW
9957257.08,1545376.95,942183.92,23477.02,-579716.0,39943.21,Software,11730046.91,10.27,0.0303,LOW
100743123.19,15919446.18,10192821.09,358597.04,-5368028.05,162729.5,Marketing,116912576.45,9.53,0.0214,LOW
115237710.6,11588274.68,6652737.2,57497.3,-4878040.18,189526.93,Software,129131232.69,17.15,0.0041,LOW
14610175.46,5177370.96,3990701.48,105752.35,-1080917.13,30502.94,Office Supplies,17714120.83,3.56,0.0116,MEDIUM
103525178.76,14285638.68,11874151.78,490986.63,-1920500.28,159687.33,Services,109242275.73,8.36,0.0331,LOW
138166723.28,18706534.94,13469744.99,605750.08,-4631039.87,167059.92,Services,150940070.27,9.8,0.0083,LOW
58944601.88,6498430.35,5520956.53,93775.79,-883698.03,242318.52,Hardware,61270277.82,10.46,0.0201,LOW
37562224.82,5808800.77,4449498.55,173693.79,-1185608.43,372576.28,Marketing,40805496.44,8.04,0.0013,LOW
63595225.27,4964026.11,4069108.24,145724.68,-749193.19,499792.62,Hardware,65404966.87,14.97,0.0135,LOW
9853921.3,1284517.63,1095060.95,41843.77,-147612.9,44482.94,Services,10258323.05,8.63,0.0317,LOW
40917808.67,10088653.14,5916964.42,168131.64,-4003557.08,7020.79,Office Supplies,52269663.73,6.72,0.0206,LOW
64663906.91,10161645.91,8282080.97,386396.47,-1493168.47,235590.57,Hardware,68774882.33,7.43,0.0162,LOW
134715705.45,19418602.17,13819637.05,959394.7,-4639570.43,43729.64,Office Supplies,148506008.63,9.11,0.0027,LOW
80320151.11,10609568.15,8477613.09,234493.18,-1897461.88,113725.75,Hardware,85943639.35,9.21,0.0464,LOW
22980535.03,9043263.85,7499578.82,440021.17,-1103663.86,809348.05,Infrastructure,25593312.83,2.79,0.1122,HIGH
2635399.2,766652.06,546773.39,32253.27,-187625.4,238802.23,Hardware,2925022.1,4.14,0.0416,MEDIUM
82505579.83,10218322.34,8549070.8,139697.19,-1529554.36,490517.42,Marketing,86415576.26,9.44,0.0276,LOW
70676707.61,7979927.26,7331536.3,350847.98,-297542.98,148979.99,Hardware,71461775.43,9.18,0.0207,LOW
210730632.36,18717843.68,14096315.8,264706.79,-4356821.08,169120.43,Services,223799116.9,14.66,0.033,LOW
116881414.17,17372581.6,12657992.29,288767.01,-4425822.3,408349.55,Infrastructure,130670080.56,9.0,0.0435,LOW
95146386.05,19625105.31,12668441.5,839967.24,-6116696.57,40950.7,Marketing,114173982.9,7.04,0.0353,LOW
141227393.94,16322473.6,11498064.58,669831.51,-4154577.51,151121.95,Software,152616730.32,11.59,0.0251,LOW
171019180.97,12008518.37,10782209.98,264371.26,-961937.13,914919.59,Infrastructure,172766294.3,15.4,0.0072,LOW
37259690.91,17483192.94,16398932.83,683177.87,-401082.24,74326.63,Services,38425710.39,2.18,0.18,HIGH
237931602.51,17109423.2,15243410.22,325087.08,-1540925.9,129091.84,Services,242711855.23,15.27,0.0244,LOW
43954176.21,11049812.25,8806521.18,378124.34,-1865166.72,199510.93,Services,49571090.47,4.76,0.0217,MEDIUM
30783839.29,2419640.96,1944179.41,53677.14,-421784.41,16374.37,Office Supplies,31937450.45,15.4,0.0162,LOW
9199458.54,1594324.95,1105481.54,19466.5,-469376.9,291645.47,Marketing,10381848.71,7.92,0.0085,LOW
21138025.66,2039882.84,1832499.86,24563.23,-182819.75,185961.83,Infrastructure,21497113.85,11.28,0.0127,LOW
44534981.29,5478870.81,3033973.87,246880.5,-2198016.44,28236.71,Office Supplies,50651197.8,13.57,0.0473,LOW
229634404.85,19759208.06,13231984.85,682002.42,-5845220.79,425745.88,Marketing,245900412.68,16.47,0.0192,LOW
68613193.59,9922557.19,6398881.31,285180.21,-3238495.67,16171.08,Office Supplies,79055463.67,10.26,0.0329,LOW
57515726.32,5852367.41,4543611.89,217903.78,-1090851.74,456649.22,Hardware,60460006.63,11.98,0.0416,LOW
76517296.57,18107230.91,15577585.42,726038.36,-1803607.14,192802.27,Software,81839974.97,4.68,0.0339,MEDIUM
180664837.5,14558103.35,11845530.03,457305.04,-2255268.27,33024.35,Office Supplies,187190782.34,14.68,0.022,LOW
25191406.22,11801689.2,9948162.01,174140.09,-1679387.1,21944.15,Office Supplies,29966432.32,2.49,0.2073,HIGH
116742632.46,17590981.64,12249357.14,239701.18,-5101923.31,80806.17,Software,132762736.66,9.34,0.0241,LOW
93061305.9,16226525.63,13770214.87,93440.21,-2362870.55,83267.15,Hardware,100595744.61,6.71,0.043,LOW
240264442.78,14622225.89,13773798.97,588243.11,-260183.8,27157.55,Services,241004670.26,16.73,0.0132,LOW
27871798.69,2909980.37,2029520.01,38144.23,-842316.13,414760.3,Marketing,30162001.96,13.28,0.0054,LOW
45424807.63,5059527.09,2833385.06,142022.79,-2084119.24,260298.84,Infrastructure,50979918.78,15.18,0.0412,LOW
97135649.62,18233058.95,12232122.93,127428.13,-5873507.9,162616.82,Hardware,114572763.18,7.85,0.0049,LOW
93713235.22,17801556.52,10756868.58,596784.92,-6447903.02,35431.23,Office Supplies,113145908.56,8.25,0.0294,LOW
160927896.45,14668683.44,13262917.69,611459.0,-794306.75,437710.09,Infrastructure,163045256.98,11.57,0.0016,LOW
96419684.79,7725334.2,5619046.81,330431.93,-1775855.45,490749.94,Hardware,101143416.14,16.12,0.0451,LOW
42717121.92,13074122.79,7507423.25,632922.78,-4933776.76,64003.24,Marketing,56772654.25,5.24,0.032,MEDIUM
73921126.34,19436319.59,11083199.81,960951.96,-7392167.82,244945.3,Infrastructure,97022957.53,6.12,0.0277,LOW
51818904.58,11934470.13,10445301.18,462083.93,-1027085.02,52693.77,Infrastructure,55024160.38,4.75,0.0072,MEDIUM
7827570.71,3034846.56,1973444.42,100310.43,-961091.72,78924.57,Hardware,10566525.03,3.74,0.0394,MEDIUM
36738457.11,11982631.98,6666087.16,75945.05,-5240599.78,272521.05,Marketing,52805703.39,5.41,0.0238,MEDIUM
33780350.4,15671332.27,11836481.77,394791.18,-3440059.32,91196.79,Infrastructure,44477004.05,2.75,0.2234,HIGH
136015513.73,10668298.69,7822178.05,32445.18,-2813675.45,426703.3,Marketing,143930264.6,17.26,0.0054,LOW
170513760.71,14391825.64,10468972.78,231788.86,-3691064.0,24376.26,Software,181163969.88,15.93,0.0317,LOW
136321465.19,11192950.46,7612036.58,296924.82,-3283989.07,262664.52,Marketing,145800740.02,17.2,0.0397,LOW
35301945.86,2731074.41,2217318.85,75286.88,-438468.69,131870.63,Software,36567160.83,15.34,0.0207,LOW
158189354.15,16634674.88,11802169.98,259957.01,-4572547.9,136370.49,Services,171494740.33,13.1,0.0076,LOW
161556501.43,18498208.2,10670752.87,86229.49,-7741225.83,376125.65,Hardware,183930835.98,14.98,0.0065,LOW
16426088.81,1669629.07,1557179.3,55933.68,-56516.09,189727.08,Marketing,16410395.31,10.07,0.0375,LOW
255164134.93,17427796.9,14611887.92,523191.26,-2292717.72,29684.11,Services,262020761.52,16.86,0.0077,LOW
61195145.49,9902693.23,8802602.43,275426.32,-824664.47,384863.73,Hardware,63313606.87,6.7,0.0404,LOW
237994913.71,16980525.65,15958614.53,520939.84,-500971.27,28723.51,Office Supplies,239495313.63,14.44,0.0329,LOW
44458390.52,14022688.16,7874879.06,534551.55,-5613257.56,76694.45,Services,60363059.45,5.28,0.0072,MEDIUM
104634694.98,13318220.38,7695722.8,647139.2,-4975358.38,376864.2,Hardware,118503594.23,12.5,0.021,LOW
66190873.03,7147471.64,4989087.0,277620.53,-1880764.12,616412.58,Infrastructure,71562821.37,12.45,0.0078,LOW
20692176.2,15211499.64,8669109.66,337020.64,-6205369.34,253117.62,Marketing,38882540.73,2.27,0.0137,HIGH
75314759.58,15221391.3,9064749.55,215570.27,-5941071.49,30470.44,Office Supplies,93184311.96,8.11,0.0154,LOW
8749220.21,4800109.49,4530239.0,49062.67,-220807.82,231368.11,Software,9208273.38,1.86,0.1079,HIGH
17697399.31,2839694.7,2126801.08,18342.4,-694551.23,718487.7,Infrastructure,19062652.73,7.92,0.0417,LOW
146940125.01,16220903.64,9389148.87,34309.05,-6797445.72,237980.81,Hardware,165717142.49,15.57,0.0157,LOW
75027132.79,8871043.58,6314135.18,128415.1,-2428493.3,30011.15,Marketing,82078337.87,11.64,0.0401,LOW
184366247.77,12553442.63,11082309.28,55316.67,-1415816.69,133008.49,Hardware,188541085.54,16.54,0.0262,LOW
37511732.37,8217450.59,5539464.18,136848.75,-2541137.67,27531.92,Software,45270113.69,6.6,0.0265,LOW
25671757.36,4281122.27,3683868.43,205113.57,-392140.27,41121.78,Office Supplies,26757414.98,6.59,0.0073,LOW
47871538.23,4346800.16,3438143.29,142468.33,-766188.54,285631.18,Software,49931528.45,13.29,0.0232,LOW
113024193.75,11492841.92,8984957.12,506862.0,-2001022.8,32494.32,Office Supplies,119114369.87,11.9,0.0432,LOW
16791285.51,12730739.43,7770626.43,281481.78,-4678631.23,161302.64,Services,30871181.81,2.07,0.1204,HIGH
2344638.22,1946717.8,1430247.71,35891.4,-480578.68,24578.89,Services,3845819.79,1.58,0.2211,HIGH
83384022.46,12492663.57,9404816.03,346244.4,-2741603.15,45002.08,Office Supplies,91497680.89,8.55,0.0405,LOW
81453341.13,13210830.37,8965010.91,99650.0,-4146169.45,233503.71,Hardware,94277219.93,8.96,0.0419,LOW
137507842.76,19656518.83,11474132.23,38469.9,-8143916.71,23012.4,Office Supplies,161679775.4,11.94,0.0261,LOW
14603123.1,3595551.06,2513796.42,73487.56,-1008267.08,138990.57,Services,17272292.92,5.59,0.0315,MEDIUM
50231577.53,7025662.27,4790632.61,135793.48,-2099236.18,147509.39,Services,56539535.88,10.17,0.0453,LOW
130642400.12,17528953.41,11978319.42,123954.57,-5426679.42,68944.03,Services,147259986.63,10.79,0.0331,LOW
6131633.88,3014557.34,2512734.85,84245.13,-417577.36,39999.77,Office Supplies,7407140.05,2.35,0.184,HIGH
178269450.06,16664699.97,14090168.29,438609.35,-2135922.33,34181.89,Office Supplies,184651737.92,12.27,0.0009,LOW
41328846.72,6522888.37,6069337.1,249877.57,-203673.69,71830.2,Software,41832604.79,6.53,0.0039,LOW
141301044.96,16966353.58,10017890.45,708446.91,-6240016.21,85860.12,Infrastructure,159446308.88,13.17,0.0383,LOW
8046016.43,3055456.31,2140921.41,127006.92,-787527.97,818591.53,Infrastructure,9463578.15,3.19,0.0219,MEDIUM
35186843.68,8511742.92,6984269.54,189045.26,-1338428.13,152954.32,Services,39231499.98,4.88,0.0117,MEDIUM
69299657.5,5163785.7,4834535.77,233396.49,-95853.43,113513.08,Software,69494277.04,13.65,0.0492,LOW
47180267.98,9502759.58,6297561.38,250616.18,-2954582.02,245982.92,Software,56225276.76,7.17,0.0069,LOW
68750438.25,5375062.63,4334835.43,149034.56,-891192.63,360029.47,Hardware,71070792.3,15.25,0.0062,LOW
11329328.47,2135564.94,1311503.68,54814.91,-769246.36,64022.51,Marketing,13724619.14,8.25,0.0408,LOW
131824488.0,17750280.59,16369109.44,351858.46,-1029312.69,54797.83,Services,135101958.43,7.88,0.0187,LOW
14779479.46,1049657.14,968130.65,34111.79,-47414.7,45591.88,Software,14871281.26,14.7,0.0415,LOW
110731771.8,14073403.78,8521686.31,315667.48,-5236049.98,454340.88,Hardware,124776691.43,12.48,0.0108,LOW
35905185.65,3415632.57,3163184.46,72284.14,-180163.97,55151.64,Services,36357823.85,11.08,0.0119,LOW
21413939.48,12959558.78,10356297.39,542155.18,-2061106.2,306434.74,Marketing,26812417.88,1.94,0.1531,HIGH
26297105.8,5217793.62,3169448.22,160397.48,-1887947.93,173345.8,Software,31504242.94,7.85,0.0334,LOW
127921572.62,10707948.87,7433902.52,291300.09,-2982746.26,576444.35,Infrastructure,136136527.66,16.48,0.0235,LOW
64557388.83,12895580.43,12152998.35,10472.65,-732109.43,182229.21,Hardware,66653346.3,5.29,0.0314,MEDIUM
87288491.26,15544276.8,13120532.23,34458.31,-2389286.25,371619.9,Infrastructure,94248496.35,6.61,0.0415,LOW
119234729.35,13851310.04,13052472.78,126239.45,-672597.81,23614.66,Software,121318075.35,9.05,0.0229,LOW
15505449.14,6222130.14,3531198.92,13037.21,-2677894.01,107922.88,Services,24059921.29,4.34,0.0272,MEDIUM
19675303.82,5439618.42,4630836.2,97090.17,-711692.06,434912.16,Hardware,21318051.24,4.07,0.0062,MEDIUM
94815687.86,7676373.9,6953218.08,343378.6,-379777.23,182737.58,Marketing,95715190.89,12.97,0.0346,LOW
36851123.74,7663265.08,6658736.34,31653.69,-972875.05,57884.96,Marketing,39759707.57,5.5,0.0411,MEDIUM
17841279.89,11136750.75,7556113.56,368024.63,-3212612.56,94723.99,Services,27720041.55,2.24,0.0833,HIGH
89130539.98,9156213.43,6673523.23,417343.52,-2065346.69,998243.07,Infrastructure,94104838.71,12.43,0.049,LOW
130346374.77,18984135.38,11011111.11,344857.38,-7628166.88,34611.71,Office Supplies,154854161.21,11.48,0.0071,LOW
16950627.85,12347671.61,10650172.84,41508.77,-1655990.0,19583.77,Office Supplies,21805897.95,1.58,0.1634,HIGH
173106368.34,12299349.16,10105450.58,228776.12,-1965122.47,293352.06,Hardware,178736171.95,16.72,0.0199,LOW
25057729.05,13166434.37,8556137.08,484310.74,-4125986.55,268517.73,Marketing,37986180.96,2.74,0.0059,HIGH
60341123.71,15611807.43,12983015.18,477625.44,-2151166.81,45990.99,Office Supplies,66739546.82,4.48,0.0061,MEDIUM
203778222.53,17130112.66,12518978.81,381240.24,-4229893.6,408098.91,Hardware,217009116.91,15.76,0.0493,LOW
116701840.11,13522875.91,11275592.94,196326.66,-2050956.32,171758.79,Services,122891467.63,10.16,0.0464,LOW
108269387.7,12935150.44,11220965.59,78492.08,-1635692.77,238659.37,Software,112731109.65,9.56,0.0247,LOW
52521620.96,7537482.23,5871027.54,370471.76,-1295982.93,185524.77,Software,55966641.3,8.39,0.0155,LOW
166385629.68,19992103.36,16744343.46,768860.86,-2478899.03,120063.18,Infrastructure,174264334.82,9.49,0.0321,LOW
52276183.85,9274502.67,7624045.52,407132.19,-1243324.95,657804.23,Infrastructure,55158551.38,6.43,0.0483,LOW
15866488.2,8936056.59,8170101.68,55475.54,-710479.37,94716.74,Software,17787930.13,1.92,0.2369,HIGH
44676666.85,4896670.55,4548973.91,69544.55,-278152.09,136543.57,Hardware,45392611.43,9.64,0.0275,LOW
19873158.79,2940820.75,1973672.57,73898.88,-893249.31,179583.49,Software,22407901.17,9.62,0.0086,LOW
77818216.88,12677344.15,11546529.59,585648.76,-545165.81,415239.59,Hardware,78915059.66,6.38,0.0023,LOW
122571605.33,13008347.81,10155727.61,498843.47,-2353776.73,316692.04,Marketing,128785554.46,11.47,0.0444,LOW
55136582.35,11138760.93,8986339.24,136381.83,-2016039.86,21492.44,Office Supplies,61118254.19,6.04,0.0344,LOW
22825986.37,3582568.72,2566010.18,60938.16,-955620.37,97211.84,Software,25695798.24,8.65,0.0367,LOW
52376198.75,17285158.63,16250635.86,320242.31,-714280.47,150874.74,Infrastructure,54279619.02,3.15,0.0745,MEDIUM
10453209.89,9267122.23,5619129.33,438049.87,-3209943.03,447228.01,Infrastructure,20348704.68,1.65,0.2305,HIGH
200360479.67,16362818.01,15111072.48,155311.04,-1096434.49,151988.33,Software,203505544.32,13.11,0.0249,LOW
62207959.16,6516539.4,3644508.37,164687.44,-2707343.59,68467.6,Software,70070355.83,16.31,0.0025,LOW
111104322.6,10150436.97,9165192.83,238833.11,-746411.03,57768.54,Infrastructure,113145162.27,11.81,0.0067,LOW
30943562.8,5657221.55,3939185.91,12797.31,-1705238.33,291586.6,Hardware,35517762.16,7.76,0.0277,LOW
20344254.2,1933869.12,1453693.69,27047.16,-453128.27,696378.71,Infrastructure,20924351.1,13.27,0.0488,LOW
48033534.4,8181122.4,7100877.93,384082.66,-696161.81,63722.08,Software,50061346.11,6.41,0.025,LOW
5573902.61,1383415.37,836709.75,32769.25,-513936.38,91491.52,Marketing,7121201.64,6.31,0.007,LOW
97090778.91,18661690.34,12641653.22,575247.06,-5444790.07,122807.68,Services,113321459.12,7.34,0.0255,LOW
70698294.93,10052009.72,7792013.4,8361.74,-2251634.58,138023.21,Services,77833841.86,9.05,0.0292,LOW
171062235.56,16036718.87,13472923.57,21366.65,-2542428.65,147454.61,Marketing,178731944.79,12.67,0.0486,LOW
14143952.05,11780249.48,7551343.6,282990.33,-3945915.55,647573.98,Infrastructure,25560909.06,1.72,0.2182,HIGH
4273067.51,3381626.31,2780680.06,160323.78,-440622.47,107530.4,Hardware,5474934.25,1.42,0.3756,HIGH
51481600.85,8552722.14,5401528.74,261490.1,-2889703.3,438952.5,Marketing,60038878.13,9.01,0.0031,LOW
13186893.18,3192608.47,2020719.01,105711.54,-1066177.91,407983.54,Infrastructure,16211159.23,6.01,0.023,LOW
104585053.63,10895977.76,8373660.11,472697.15,-2049620.5,32878.84,Office Supplies,110891221.37,11.82,0.0305,LOW
28903811.95,4249151.3,2756032.06,47774.7,-1445344.54,156523.11,Services,33225475.64,10.25,0.0345,LOW
78389391.5,10035560.05,7445596.45,468904.21,-2121059.38,15125.96,Office Supplies,84352470.52,9.9,0.0338,LOW
111039496.74,7904036.61,7446110.05,377263.17,-80663.4,90683.53,Software,111182580.76,14.18,0.0357,LOW
